wrds_filing_id,issuer_id,issuer_name,issuer_trading_symbol,issuer_sic,filing_date,acceptance_date,publication_date,document_10b5one_flag,reporting_owner_id,reporting_owner_name,is_director,is_officer,officer_title,is_other,other_text,is_ten_percent_owner,trans_date,trans_acquired_disposed_code,trans_code,trans_price_per_share,trans_shares,direct_or_indirect_ownership,equity_swap_involved,trans_form_type,shares_owned_following_trans,value_owned_following_trans,transaction_10b5one_flag
0000002488-23-000181,0000002488,ADVANCED MICRO DEVICES INC,AMD,3674,2023-09-01,2023-09-01,2023-09-01,0,0001768248,GRASBY PAUL DARREN,0,1,EVP Strategic Partnerships,0,,0,2023-08-30,D,S,106,14942,D,0,4,103663,,0
0000006955-23-000018,0000006955,ENERPAC TOOL GROUP CORP,EPAC,3590,2023-09-01,2023-09-01,2023-09-01,0,0001720243,STERNLIEB PAUL,0,1,President and CEO,0,,0,2023-08-30,A,A,0,111234,D,0,4,313395,,
0000028823-23-000145,0000028823,"DIEBOLD NIXDORF, INC",DBD,3578,2023-09-01,2023-09-01,2023-09-01,0,0001917170,MARQUEZ OCTAVIO,1,1,"Board Chair, President and CEO",0,,0,2023-08-30,A,P,19,1000,D,0,4,1100,,
33799,0000035095,TOWNEBANK,TOWN,,2023-07-03,2023-07-03,2023-07-03,,0000033234,DAVIS J. MORGAN,1,0,,0,,0,2023-06-30,D,F,23,384,D,,4,70138,,
33801,0000035095,TOWNEBANK,TOWN,,2023-07-10,2023-07-10,2023-07-10,,0000033235,WITT ALAN S,1,0,,0,,0,2023-07-07,D,S,24,33,D,,4,96688,,
33802,0000035095,TOWNEBANK,TOWN,,2023-07-10,2023-07-10,2023-07-10,,0000033236,"NORMENT, JR THOMAS K",1,0,,0,,0,2023-05-03,A,P,22,1000,D,,4,61842,,
33802,0000035095,TOWNEBANK,TOWN,,2023-07-10,2023-07-10,2023-07-10,,0000033236,"NORMENT, JR THOMAS K",1,0,,0,,0,2023-05-03,A,P,22,1000,D,,4,62842,,
33803,0000035095,TOWNEBANK,TOWN,,2023-07-10,2023-07-10,2023-07-10,,0000033237,"NORMENT, JR THOMAS K",1,0,,0,,0,2023-04-12,A,J,25,205,D,,4,63047,,
33804,0000035095,TOWNEBANK,TOWN,,2023-07-14,2023-07-14,,,0000033238,ELLIS DOUGLAS D,1,0,,0,,0,2023-05-01,A,J,23,100,D,,4,152188,,
33804,0000035095,TOWNEBANK,TOWN,,2023-07-14,2023-07-14,,,0000033238,ELLIS DOUGLAS D,1,0,,0,,0,2023-05-02,A,J,22,100,D,,4,152288,,
33805,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033239,BENSON JEFFREY F,1,0,,0,,0,2023-07-14,A,J,24,192,D,,4,110506,,
33806,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033240,BRAY RICHARD S,1,0,,0,,0,2023-07-14,A,J,24,292,D,,4,78023,,
33807,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033241,CHERRY BRADFORD L,1,0,,0,,0,2023-07-14,A,J,24,187,D,,4,153944,,
33808,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033242,ELLIS DOUGLAS D,1,0,,0,,0,2023-07-14,A,J,24,342,D,,4,152630,,
33809,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033243,FAILES JOHN W,1,0,,0,,0,2023-07-14,A,J,24,513,D,,4,72861,,
33810,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033244,FINE ANDREW S,1,0,,0,,0,2023-07-14,A,J,24,394,D,,4,160468,,
33811,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033245,JUNG HOWARD J,1,0,,0,,0,2023-07-14,A,J,24,141,D,,4,199282,,
33812,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033246,"LAWSON, II JOHN R",1,0,,0,,0,2023-07-14,A,J,24,444,D,,4,420590,,
33813,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033247,"LAYNE, JR AUBREY L",1,0,,0,,0,2023-07-14,A,J,24,35,D,,4,18438,,
33814,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033248,LESTER HARRY T,1,0,,0,,0,2023-07-14,A,J,24,121,D,,4,38826,,
33815,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033249,LEWIS W. ASHTON,1,0,,0,,0,2023-07-14,A,J,24,397,D,,4,142923,,
33816,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033250,MARIONEAUX STEPHANIE J,1,0,,0,,0,2023-07-14,A,J,24,282,D,,4,45848,,
33817,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033251,"MONTERO, II JUAN M",1,0,,0,,0,2023-07-14,A,J,24,135,D,,4,16035,,
33818,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033252,"NORMENT, JR THOMAS K",1,0,,0,,0,2023-07-14,A,J,24,344,D,,4,63391,,
33819,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033253,OMAN ROBERT M,1,0,,0,,0,2023-07-14,A,J,24,143,D,,4,43607,,
33820,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033254,"OWENS, III R. V.",1,0,,0,,0,2023-07-14,A,J,24,172,D,,4,18648,,
33821,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033255,PERRY J. CHRISTOPHER,1,0,,0,,0,2023-07-14,A,J,24,35,D,,4,6788,,
33822,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033256,SCHAUBACH DWIGHT C,1,0,,0,,0,2023-07-14,A,J,24,115,D,,4,39262,,
33823,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033257,THURMOND RICHARD B,1,0,,0,,0,2023-07-14,A,J,24,339,D,,4,74916,,
33824,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033258,WITT ALAN S,1,0,,0,,0,2023-07-14,A,J,24,228,D,,4,96916,,
33825,0000035095,TOWNEBANK,TOWN,,2023-07-21,2023-07-21,2023-07-21,,0000033259,"LAWSON, II JOHN R",1,0,,0,,0,2023-07-14,A,J,24,1971,D,,4,422561,,
33826,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033260,AMATO JACQUELINE B,1,0,,0,,0,2023-07-14,A,J,25,26,D,,4,130123,,
33827,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033261,"ASTON, JR G. ROBERT",1,1,Executive Chairman of the Board TowneBank,0,,0,2023-07-14,A,J,25,2,D,,4,337892,,
33827,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033261,"ASTON, JR G. ROBERT",1,1,Executive Chairman of the Board TowneBank,0,,0,2023-07-14,A,J,25,2,I,,4,78827,,
33827,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033261,"ASTON, JR G. ROBERT",1,1,Executive Chairman of the Board TowneBank,0,,0,2023-07-14,A,J,25,2,I,,4,78829,,
33828,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033262,BRAY RICHARD S,1,0,,0,,0,2023-07-14,A,J,25,27,I,,4,2946,,
33828,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033262,BRAY RICHARD S,1,0,,0,,0,2023-07-14,A,J,25,2,I,,4,2948,,
33829,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033263,CLARK ROBERT L,0,1,Senior Executive Vice President and Chief Operating Officer,0,,0,2023-07-14,A,J,25,6,D,,4,11039,,
33830,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033264,DAVIS J. MORGAN,1,0,,0,,0,2023-07-14,A,J,25,1,D,,4,70139,,
33830,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033264,DAVIS J. MORGAN,1,0,,0,,0,2023-07-14,A,J,25,3,I,,4,351,,
33831,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033265,LEWIS W. ASHTON,1,0,,0,,0,2023-07-14,A,J,25,25,D,,4,142948,,
33831,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033265,LEWIS W. ASHTON,1,0,,0,,0,2023-07-14,A,J,25,34,D,,4,142982,,
33832,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033266,MARIONEAUX STEPHANIE J,1,0,,0,,0,2023-07-14,A,J,25,183,D,,4,46031,,
33833,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033267,"MONTERO, II JUAN M",1,0,,0,,0,2023-07-14,A,J,25,9,D,,4,16044,,
33834,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033268,"NORMENT, JR THOMAS K",1,0,,0,,0,2023-07-14,A,J,25,47,D,,4,63465,,
33835,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033269,RUDISILL PHILIP M,0,1,Senior Executive VP and Chief Credit Officer TowneBank,0,,0,2023-07-14,A,J,25,61,D,,4,35381,,
33836,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033270,SCHAUBACH DWIGHT C,1,0,,0,,0,2023-07-14,A,J,25,90,D,,4,39352,,
33837,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033271,THURMOND RICHARD B,1,0,,0,,0,2023-07-14,A,J,25,108,D,,4,75024,,
33838,0000035095,TOWNEBANK,TOWN,,2023-07-25,2023-07-25,2023-07-25,,0000033272,WITT ALAN S,1,0,,0,,0,2023-07-14,A,J,25,202,D,,4,97306,,
